Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Belize,4884.0,49.44,6.7,37.8,1.8793021109984238,0.72,6.256920305285421,36.6845676855507,0.62,0.77,0.2,0.01,-0.29746383571752233,12.3,12.620318375848083,3861.0,75.0,53.3,506.0,7.7,2.27,31.174078086347677,24.1,0.46,23.9,55.4,5464.0,2.05,74.4,74.7,307.0,44.8,28.6,7.4,28.253640427006076,80.3,23.49,1769.2887455699092,2710.0,25.3
Benin,1220.0,97.91507121344358,3.0,1.1,2.0911854112525106,0.55,4.58,36.85328617134458,0.93,0.43,27.7,0.0,0.8454859957457472,90.3,12.032314980321885,819.0,26.0,47.8,83.0,12.7,4.77,17.1,9.6,0.14,17.0,55.3,19627.387169095804,2.73,63.4,16.2,70.0,7.0,18.7,4.0,58.2569451221932,8.4,19.85,84.0,2510.0,27.55
Bhutan,3361.0,115.19673690281599,0.6,1.2,1.9475624807684504,0.65,5.71,39.74824606903008,0.9325695782480863,0.01,0.2,0.75,-1.4331639252071966,28.5,10.0,639.0,108.0,37.4,322.0,5.1,1.95,57.62013225645932,6.4,0.52,29.1,62.9,-6930.790536164364,1.18,73.1,3.0,145.0,14.9,22.8,6.6,0.0,19.942041264600874,70.26,60881.28872158809,2289.534026122204,7.4
Bolivia,3552.0,52.99483565896713,4.8,6.2,2.610757239118721,0.72,5.08,39.212081213787556,0.89,0.89,0.1,0.0,0.0,26.0,14.0,4071.0,33.0,42.2,496.0,6.8,2.69,26.185947177990045,20.2,0.43,25.3,42.3,5334.0,1.47,72.1,50.0,164.0,67.5,24.1,7.3,252.74911747674332,46.04,9.07,1578.0,2100.0,21.55
Bosnia and Herzegovina,6109.0,44.85,6.4,1.2,2.1285556790015434,0.78,4.84,35.56352943885844,0.77,0.46,50.7,0.19409496055162762,0.0,5.9,14.0,2789.0,23.0,33.0,1301.0,8.3,1.25,46.3,17.9,0.7,43.3,61.9,3891.443565887166,-0.22,76.8,21.4,83.0,86.0,27.1,3.093173308539619,20.0,174.03,211.8,44960.93689023508,3080.0,9.85
Botswana,7961.0,64.34839548904387,8.4,15.2,2.469140901640249,0.74,7.62,33.748580732867836,0.77,0.72,0.4,0.0,0.0,41.6,11.801503194872918,1993.0,8.0,53.3,1089.0,20.2,2.84,32.1,18.9,0.42,25.7,69.5,36560.78822188242,1.79,62.2,27.3,208.0,40.7,26.4,7.8,94.02189178063327,117.74,124.66,158.0,2230.0,21.5
Brazil,8755.0,90.3,7.8,27.4,1.4,0.77,6.92,16.0,0.87,0.9,0.36,0.0,0.59,11.0,12.0,3625.0,38.0,53.9,1531.0,6.4,1.65,32.8,22.1,0.76,33.2,51.9,12113.0,0.75,75.9,82.4,357.0,74.3,30.0,6.2,10.0,149.28,287.15,46829.0,3120.0,24.95
Brunei,31086.0,138.22478636086782,0.4,0.5,2.61401991673178,0.84,5.171800367825243,31.408352131015576,0.8277857001144336,0.07,80.9,0.09,0.7322231914709079,11.4,11.587248230191793,812.3967232457799,0.0,32.95507629819983,1953.0,2.5,1.82,17.4,14.1,0.95,31.1,65.1,257959.0,1.25,74.3,17.96873551858411,186.0,61.6,25.1,4.4,318.8737077899227,70.47,685.37,91.0,2980.0,26.85
Bulgaria,9703.0,78.84,12.7,1.3,1.9236760641806274,0.82,6.71,35.985841463616545,0.34,0.85,13.4,0.0,0.01,6.7,14.0,4596.0,63.0,40.4,1634.0,6.5,1.58,49.6,25.0,0.64,43.7,69.0,140.0,-0.67,75.1,69.4,109.0,97.5,26.9,4.1,218.53745904856646,155.71,469.54,10068.0,2760.0,10.55
Burkina Faso,787.0,84.15654364681109,8.2,1.3,1.9850281213587104,0.45,3.73,36.081041378379524,0.88,0.22,63.2,0.0,0.23095252601597593,87.5,11.510243968675546,710.0,26.0,35.3,112.0,14.4,5.11,29.9,5.6,0.15,17.9,59.4,-14260.9561873661,2.87,62.7,11.2,37.0,8.4,17.9,4.2,335.0,29.79,12.76,12.0,2690.0,28.29
Burundi,260.0,72.41167628857181,7.5,6.1,1.963758716992455,0.43,2.14,41.40439459107668,0.98,0.75,10.0,0.07623151333660386,-0.3429420349624621,56.5,15.0,-1238.3415630852105,26.0,38.6,66.0,12.1,5.32,20.6,5.4,0.05,17.7,48.9,-20361.76593842404,3.15,63.8,3.5,96.0,24.9,20.3,4.8,208.8019866408115,4.6,2.0,-24036.585391752305,1680.0,19.8
