Country,GDP per capita,average Internet connexion speed,alchool consumption per capita,homocide rate,Military % of GDP,HDI,Democracy index,Equivalent to a 2-year degree or higher (%),Importance of religion,% Christian,Muslim percentage of total population,Buddhist population,Jewish population,"2019 mortality rate, under-5 (per 1000 live births)",Age of crime responsibility,minimum wage,external debt,income equality,total health expenditure,suicide rate,Fertility rate,tabacco consumption,Obesity rate,number of internet users,Median age,economic freedom,Oil production per capita,population growth rate,Life expectancy at birth,meat consumption (Kg per capita),incarceration rate per 10000,literacy rate,Women's age first marriage,Expenditure on education(% of GDP),"Homelessper 10,000",Milk consumption 2013 (kg/capita/yr),Papers per capita in ppm (2018),books published,kilocalories,"Average yearly temperature (1961-1990, Celsius)"
Iceland,71345.0,,9.1,0.9,,0.95,9.37,40.0,,0.75,0.2,0.0,,2.0,15.0,,81.0,26.8,5113.0,11.2,1.75,30.3,21.9,0.98,37.1,77.1,,0.77,82.3,84.8,33.0,,32.7,7.5,10.3,225.82,2022.49,1767.0,3260.0,1.75
India,2116.0,55.76,5.7,3.1,2.9,0.65,6.61,,0.9,0.02,14.6,0.01,0.03,34.3,7.0,709.0,20.2,37.8,275.0,12.9,2.2,48.9,3.9,0.62,28.7,55.2,554.0,1.1,70.8,5.2,35.0,45.4,22.2,3.1,15.0,84.5,100.39,90000.0,2360.0,23.65
Indonesia,4136.0,,0.8,0.4,,0.72,6.3,11.0,0.99,0.11,86.7,0.01,0.0,23.9,12.0,2477.0,37.0,39.0,375.0,2.6,2.29,41.8,6.9,0.79,31.1,65.8,3192.0,1.05,71.3,8.3,93.0,70.1,19.0,3.6,136.0,14.82,100.68,135081.0,2550.0,25.85
Iran,7282.0,,1.0,2.5,,0.78,2.2,,0.73,0.0,99.4,0.0,0.05,13.9,12.0,1275.0,2.0,40.8,1691.0,5.1,2.15,21.4,25.8,0.96,31.7,51.1,49714.0,1.04,77.3,23.1,228.0,36.8,23.8,4.0,1.9,46.69,590.54,102691.0,3050.0,17.25
Iraq,5730.0,,0.4,10.1,,0.67,3.62,,0.84,0.03,95.7,0.0,,25.9,9.0,2538.0,44.0,29.5,716.0,4.7,3.6,28.0,30.4,0.49,21.2,,119664.0,2.78,72.4,,126.0,20.4,25.3,3.5,304.0,22.18,158.01,,,21.4
Ireland,81637.0,112.81,13.0,0.9,,0.96,9.05,52.0,0.54,0.84,1.4,0.0,0.02,3.3,10.0,23395.0,701.0,32.8,5897.0,8.9,1.7,35.5,25.3,0.84,37.8,80.5,,0.78,81.8,106.3,74.0,,34.8,3.7,16.0,291.86,1488.79,,3590.0,9.3
Israel,46376.0,147.36,3.8,1.5,5.6,0.92,7.84,46.0,0.51,0.04,18.0,0.0,40.0,3.7,12.0,17842.0,33.0,39.0,3207.0,5.2,3.01,31.3,26.1,0.81,30.4,72.8,47.0,1.55,82.6,97.1,234.0,79.8,25.0,5.8,29.0,193.6,1459.76,8411.0,3530.0,19.2
Italy,33090.0,90.93,7.5,0.6,1.6,0.89,7.74,25.0,0.72,0.83,4.8,0.0,0.17,3.1,14.0,,141.0,35.9,3624.0,4.3,1.27,26.4,19.9,0.83,46.5,62.2,1189.0,-0.13,83.0,90.4,89.0,96.7,31.3,3.8,8.4,246.88,1175.05,61966.0,3650.0,13.45
Jamaica,5369.0,37.95,4.2,43.9,,0.73,7.13,,0.7,0.65,0.2,0.0,0.0,13.9,,2730.0,122.0,45.5,559.0,2.3,1.97,19.3,24.7,0.48,29.4,68.6,,0.29,76.0,56.8,137.0,66.6,33.2,5.4,,91.13,55.88,,2840.0,24.95
Japan,40063.0,167.18,8.0,0.3,1.0,0.92,8.13,60.0,0.24,0.02,0.1,0.36,0.01,2.5,11.0,15646.0,96.0,32.9,4504.0,12.2,1.36,33.3,4.3,0.92,48.6,72.1,30.0,-0.23,84.67,45.9,38.0,,29.3,3.6,0.3,72.06,776.66,139078.0,2800.0,11.15
